Date & Time,WAHDAT COLONY,SUTLAJ,CLIFTON COLONY,NEELUM,HUNZA,G IQBAL,SPARCO,RAZA,CANAL VIEW,INDUSTRIAL-II,MUSTAFA TOWN-II,UNIVERSITY,AUBIA,SHAH KAMAL,ZAID HOSPITAL,MOHD PURA,KIDNEY CENTER,MOTA SINGH WALA,GOHAWA,HAIR,ASKARI-II,EXPRESS,DEFENCE RAYA COUNTRY,PACE WOOD,BD-3,BD-10,SECTOR-M,EXPRESS -3 ,LEEL,BABU MEHAR TOWN,HAJI  PARK,L-BLOCK PHASE-V,D-BLOCK PHASE-V,BD -9,FEEDER-1 SECTOR A&B (EXTN) ,FEEDER-6 SECTOR K,FEEDER-12 SECTOR G,FEEDER-10  SECTOR A,EXPRESS FEEDER 4 PHASE-V
2020-08-12,2536.315,994.0939999999999,2184.232,2803.528,1817.312,2703.92,1318.016,1101.429,1569.6640000000002,3099.7799999999997,1720.8560000000002,1460.776,1919.708,3138.9120000000003,476.544,1775.038,180.513,761.7760000000001,2543.8199999999997,2836.3440000000005,1038.344,575.376,95.222,245.336,63.428,182.57999999999998,16.444,616.1659999999999,959.472,2346.14,3190.472,987.8480000000001,901.592,531.64,1001.6639999999998,570.852,1488.336,562.344,1982.1439999999998
2020-08-19,2030.83,918.028,1936.944,2090.3759999999997,1467.192,2166.4440000000004,1217.884,915.156,1387.359,2259.504,1294.432,1319.7150000000001,1444.812,2563.532,319.04900000000004,1417.056,195.64499999999998,741.7360000000001,2229.264,2496.0000000000005,818.0159999999998,714.889,56.984,195.38400000000001,60.392,191.21800000000002,14.316,507.14,915.0640000000001,2062.9120000000003,2703.968,833.048,749.7919999999999,629.1869999999999,800.7839999999999,487.216,1203.116,487.20000000000005,1732.784
2020-08-26,1819.33,884.1359999999999,1876.072,2089.2960000000003,1351.856,1990.312,1029.4080000000001,844.904,1172.0,2199.963,1066.372,1241.46,1370.96,2060.616,229.97600000000003,1293.968,184.248,748.46,2072.608,2199.824,749.796,926.962,29.586,172.624,59.42,197.468,15.020000000000001,457.276,754.208,1932.784,2534.64,753.2560000000001,689.8,535.715,842.3240000000001,464.22400000000005,1110.156,461.09999999999997,1576.5680000000002
2020-09-02,1704.2649999999999,869.692,1800.376,2005.5919999999999,1217.08,1822.468,1112.316,816.6800000000001,1131.432,2248.816,1108.064,1230.6480000000001,1392.844,2020.3560000000002,182.68800000000002,1237.516,189.824,714.1000000000001,2011.808,2080.71,664.8039999999999,874.505,33.19,159.156,58.824000000000005,193.284,12.764,450.186,852.064,1879.0030000000002,2361.112,684.5120000000001,633.5600000000001,541.3820000000001,721.0039999999999,425.576,1164.288,438.62,1598.2160000000001
2020-09-09,2116.49,984.776,2109.656,2220.456,1542.1359999999997,2281.4880000000003,1469.22,995.896,1432.072,2253.664,1595.48,1482.292,1567.24,2384.7200000000003,639.8240000000001,1543.9520000000002,204.92,721.041,2220.0159999999996,2355.208,818.0799999999999,777.104,50.046,190.1,66.22800000000001,191.82,15.809999999999999,571.566,828.8319999999999,2128.084,2814.6640000000007,836.432,754.208,751.009,979.9159999999999,555.5120000000001,1149.32,554.864,1895.8880000000001
2020-09-16,2315.655,999.0079999999998,2116.732,2642.596,1634.528,2403.8719999999994,1175.4940000000001,1038.732,1528.172,2544.08,1544.845,1520.1360000000002,2000.6640000000002,2465.1800000000003,261.0,1555.9199999999998,196.462,747.77,2325.68,2498.3360000000002,955.536,726.698,69.266,215.05599999999998,62.135,184.184,13.626,607.6759999999999,864.8860000000001,2215.672,2963.148,998.589,829.976,550.282,863.6980000000001,492.152,1488.876,515.693,2013.3680000000002
2020-09-23,2206.85,931.752,1818.6080000000002,1884.9660000000001,1554.36,2262.2799999999997,1207.568,994.2799999999999,1482.3960000000002,2594.224,1266.738,1577.1040000000003,1768.52,2358.8880000000004,501.304,1528.016,178.392,822.1920000000001,2215.2239999999997,2410.496,872.92,825.193,47.226000000000006,201.94000000000003,56.483999999999995,192.664,13.82,518.8340000000001,880.216,2099.688,2649.1710000000003,940.0160000000001,802.072,710.652,859.428,482.15600000000006,1339.4,476.25899999999996,1876.056
2020-09-30,1806.4100000000003,791.926,1456.819,1751.8840000000002,1292.869,1947.804,1121.402,827.87,1296.596,2125.0829999999996,993.3610000000001,1355.192,1555.2980000000002,2163.6949999999997,335.88700000000006,1260.1430000000003,166.63300000000004,688.256,2004.7600000000002,2299.424,695.8769999999998,1051.377,49.298,162.128,52.01200000000001,193.472,13.931999999999999,454.11199999999997,735.5360000000001,1899.8719999999998,2275.4080000000004,804.3860000000001,678.024,550.017,715.71,412.448,1188.792,431.718,1623.84
2020-10-07,1538.76,842.756,1459.296,1355.594,1070.648,1685.7520000000002,1055.38,701.8330000000001,1101.9679999999998,1947.9240000000002,930.888,1149.048,1246.7839999999999,1811.7440000000001,174.509,1107.8509999999999,170.497,544.22,1729.928,1911.376,564.558,905.8319999999999,74.166,135.944,44.588,172.834,13.142000000000001,428.59000000000003,625.008,1749.904,2076.7200000000003,671.9680000000001,579.852,317.709,668.288,323.152,974.5519999999999,394.632,1452.5600000000002
2020-10-14,1301.135,736.212,1197.367,1167.779,903.727,1404.7379999999998,746.956,578.3710000000001,972.6650000000001,1597.958,774.7350000000001,1059.6819999999998,1085.2259999999999,1444.9119999999998,279.745,929.354,150.622,397.276,1486.9230000000002,1626.271,474.627,666.4100000000001,286.796,111.64099999999999,43.416000000000004,132.142,12.302,356.174,564.5459999999999,1481.745,1638.728,569.8679999999999,490.39300000000003,241.948,498.6209999999999,250.672,796.197,310.12399999999997,1249.955
